number,name,status
0001,PEP 1 – PEP Purpose and Guidelines,Active
0238,PEP 238 – Changing the Division Operator,Final
0235,PEP 235 – Import on Case-Insensitive Platforms,Final
0237,PEP 237 – Unifying Long Integers and Integers,Final
0234,PEP 234 – Iterators,Final
0233,PEP 233 – Python Online Help,Deferred
0236,PEP 236 – Back to the __future__,Final
0239,PEP 239 – Adding a Rational Type to Python,Rejected
0231,PEP 231 – __findattr__(),Rejected
0232,PEP 232 – Function Attributes,Final
0230,PEP 230 – Warning Framework,Final
0229,PEP 229 – Using Distutils to Build Python,Final
0228,PEP 228 – Reworking Python’s Numeric Model,Withdrawn
0227,PEP 227 – Statically Nested Scopes,Final
0226,PEP 226 – Python 2.1 Release Schedule,Final
0225,PEP 225 – Elementwise/Objectwise Operators,Rejected
8105,PEP 8105 – 2024 Term Steering Council election,Final
8104,PEP 8104 – 2023 Term Steering Council election,Final
8103,PEP 8103 – 2022 Term Steering Council election,Final
8101,PEP 8101 – 2020 Term Steering Council election,Final
8016,PEP 8016 – The Steering Council Model,Accepted
8015,PEP 8015 – Organization of the Python community,Rejected
8100,PEP 8100 – January 2019 Steering Council election,Final
8102,PEP 8102 – 2021 Term Steering Council election,Final
8014,PEP 8014 – The Commons Governance Model,Rejected
8013,PEP 8013 – The External Council Governance Model,Rejected
8012,PEP 8012 – The Community Governance Model,Rejected
8002,PEP 8002 – Open Source Governance Survey,Final
8001,PEP 8001 – Python Governance Voting Process,Final
8011,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,Rejected
8000,PEP 8000 – Python Language Governance Proposal Overview,Final
8010,PEP 8010 – The Technical Leader Governance Model,Rejected
3154,PEP 3154 – Pickle protocol version 4,Final
3155,PEP 3155 – Qualified name for classes and functions,Final
3333,PEP 3333 – Python Web Server Gateway Interface v1.0.1,Final
3152,PEP 3152 – Cofunctions,Rejected
3150,PEP 3150 – Statement local namespaces (aka “given” clause),Deferred
3151,PEP 3151 – Reworking the OS and IO exception hierarchy,Final
3156,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3153,PEP 3153 – Asynchronous IO support,Superseded
3149,PEP 3149 – ABI version tagged .so files,Final
3148,PEP 3148 – futures - execute computations asynchronously,Final
3147,PEP 3147 – PYC Repository Directories,Final
3146,PEP 3146 – Merging Unladen Swallow into CPython,Withdrawn
3144,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,Final
3142,PEP 3142 – Add a “while” clause to generator expressions,Rejected
3143,PEP 3143 – Standard daemon process library,Deferred
3141,PEP 3141 – A Type Hierarchy for Numbers,Final
3140,"PEP 3140 – str(container) should call str(item), not repr(item)",Rejected
3139,PEP 3139 – Cleaning out sys and the “interpreter” module,Rejected
3138,PEP 3138 – String representation in Python 3000,Final
3137,PEP 3137 – Immutable Bytes and Mutable Buffer,Final
3136,PEP 3136 – Labeled break and continue,Rejected
3145,PEP 3145 – Asynchronous I/O For subprocess.Popen,Withdrawn
3135,PEP 3135 – New Super,Final
3134,PEP 3134 – Exception Chaining and Embedded Tracebacks,Final
3133,PEP 3133 – Introducing Roles,Rejected
3132,PEP 3132 – Extended Iterable Unpacking,Final
3131,PEP 3131 – Supporting Non-ASCII Identifiers,Final
3130,PEP 3130 – Access to Current Module/Class/Function,Rejected
3128,PEP 3128 – BList: A Faster List-like Type,Rejected
3129,PEP 3129 – Class Decorators,Final
3126,PEP 3126 – Remove Implicit String Concatenation,Rejected
3125,PEP 3125 – Remove Backslash Continuation,Rejected
3127,PEP 3127 – Integer Literal Support and Syntax,Final
3124,"PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3123,PEP 3123 – Making PyObject_HEAD conform to standard C,Final
3122,PEP 3122 – Delineation of the main module,Rejected
3121,PEP 3121 – Extension Module Initialization and Finalization,Final
3120,PEP 3120 – Using UTF-8 as the default source encoding,Final
3119,PEP 3119 – Introducing Abstract Base Classes,Final
3117,PEP 3117 – Postfix type declarations,Rejected
3115,PEP 3115 – Metaclasses in Python 3000,Final
3118,PEP 3118 – Revising the buffer protocol,Final
3116,PEP 3116 – New I/O,Final
3114,PEP 3114 – Renaming iterator.next() to iterator.__next__(),Final
3113,PEP 3113 – Removal of Tuple Parameter Unpacking,Final
3112,PEP 3112 – Bytes literals in Python 3000,Final
3111,PEP 3111 – Simple input built-in in Python 3000,Final
3109,PEP 3109 – Raising Exceptions in Python 3000,Final
3110,PEP 3110 – Catching Exceptions in Python 3000,Final
3108,PEP 3108 – Standard Library Reorganization,Final
3107,PEP 3107 – Function Annotations,Final
3106,"PEP 3106 – Revamping dict.keys(), .values() and .items()",Final
3105,PEP 3105 – Make print a function,Final
3104,PEP 3104 – Access to Names in Outer Scopes,Final
3103,PEP 3103 – A Switch/Case Statement,Rejected
3099,PEP 3099 – Things that will Not Change in Python 3000,Final
3100,PEP 3100 – Miscellaneous Python 3.0 Plans,Final
3102,PEP 3102 – Keyword-Only Arguments,Final
3101,PEP 3101 – Advanced String Formatting,Final
3003,PEP 3003 – Python Language Moratorium,Final
3001,PEP 3001 – Procedure for reviewing and improving standard library modules,Withdrawn
3002,PEP 3002 – Procedure for Backwards-Incompatible Changes,Final
3000,PEP 3000 – Python 3000,Final
2026,PEP 2026 – Calendar versioning for Python,Draft
0789,PEP 789 – Preventing task-cancellation bugs by limiting yield in async generators,Draft
0801,PEP 801 – Reserved,Active
0754,PEP 754 – IEEE 754 Floating Point Special Values,Rejected
0749,PEP 749 – Implementing PEP 649,Draft
0746,PEP 746 – Type checking Annotated metadata,Draft
0745,PEP 745 – Python 3.14 Release Schedule,Active
0743,PEP 743 – Add Py_COMPAT_API_VERSION to the Python C API,Draft
0742,PEP 742 – Narrowing types with TypeIs,Accepted
0741,PEP 741 – Python Configuration C API,Draft
0744,PEP 744 – JIT Compilation,Draft
0738,PEP 738 – Adding Android as a supported platform,Accepted
0739,PEP 739 – Static description file for build details of Python installations,Draft
0740,PEP 740 – Index support for digital attestations,Draft
0737,PEP 737 – C API to format a type fully qualified name,Final
0736,PEP 736 – Shorthand syntax for keyword arguments at invocation,Draft
0735,PEP 735 – Dependency Groups in pyproject.toml,Draft
0734,PEP 734 – Multiple Interpreters in the Stdlib,Deferred
0733,PEP 733 – An Evaluation of Python’s Public C API,Draft
0732,PEP 732 – The Python Documentation Editorial Board,Active
0731,PEP 731 – C API Working Group Charter,Active
0729,PEP 729 – Typing governance process,Active
0730,PEP 730 – Adding iOS as a supported platform,Final
0728,PEP 728 – TypedDict with Typed Extra Items,Draft
0726,PEP 726 – Module ,Rejected
0725,PEP 725 – Specifying external dependencies in pyproject.toml,Draft
0723,PEP 723 – Inline script metadata,Final
0724,PEP 724 – Stricter Type Guards,Withdrawn
0727,PEP 727 – Documentation in Annotated Metadata,Draft
0722,PEP 722 – Dependency specification for single-file scripts,Rejected
0721,PEP 721 – Using tarfile.data_filter for source distribution extraction,Final
0720,PEP 720 – Cross-compiling Python packages,Draft
0719,PEP 719 – Python 3.13 Release Schedule,Active
0718,PEP 718 – Subscriptable functions,Draft
0715,PEP 715 – Disabling bdist_egg distribution uploads on PyPI,Final
0714,PEP 714 – Rename dist-info-metadata in the Simple API,Accepted
0713,PEP 713 – Callable Modules,Rejected
0711,PEP 711 – PyBI: a standard format for distributing Python Binaries,Draft
0712,PEP 712 – Adding a “converter” parameter to dataclasses.field,Rejected
0710,PEP 710 – Recording the provenance of installed packages,Draft
0709,PEP 709 – Inlined comprehensions,Final
0708,PEP 708 – Extending the Repository API to Mitigate Dependency Confusion Attacks,Provisional
0707,PEP 707 – A simplified signature for __exit__ and __aexit__,Rejected
0706,PEP 706 – Filter for tarfile.extractall,Final
0705,PEP 705 – TypedDict: Read-only items,Accepted
0702,PEP 702 – Marking deprecations using the type system,Accepted
0704,PEP 704 – Require virtual environments by default for package installers,Withdrawn
0703,PEP 703 – Making the Global Interpreter Lock Optional in CPython,Accepted
0700,PEP 700 – Additional Fields for the Simple API for Package Indexes,Final
0701,PEP 701 – Syntactic formalization of f-strings,Accepted
0699,PEP 699 – Remove private dict version field added in PEP 509,Accepted
0698,PEP 698 – Override Decorator for Static Typing,Final
0697,PEP 697 – Limited C API for Extending Opaque Types,Final
0696,PEP 696 – Type Defaults for Type Parameters,Accepted
0693,PEP 693 – Python 3.12 Release Schedule,Active
0694,PEP 694 – Upload 2.0 API for Python Package Repositories,Draft
0695,PEP 695 – Type Parameter Syntax,Final
0692,PEP 692 – Using TypedDict for more precise **kwargs typing,Final
0691,PEP 691 – JSON-based Simple API for Python Package Indexes,Accepted
0690,PEP 690 – Lazy Imports,Rejected
0689,PEP 689 – Unstable C API tier,Final
0688,PEP 688 – Making the buffer protocol accessible in Python,Final
